CÓDIGO;DESCRIÇÃO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRODUTO;PRODUTO;;0191;0192;0280;0580;0680;0791;0792;1091;1092;1093;1100;1200;1300;1400;1500;1600;1700;1800;1991;1992;2091;2092;2093;2100;2200;2300;2491;2492;2500;2600;2700;2800;2991;2992;3000;3180;3300;3500;3680;4180;4500;4680;4900;5000;5100;5280;5500;5600;5800;5980;6100;6280;6480;6800;6980;7180;7380;7700;7880;8000;8400;8591;8592;8691;8692;9080;9480;9700;;;;;;;;;;;;;;;;
Valores correntes em  1 000 000 R$;;;Agricultura, inclusive o apoio à agricultura e a pós-colheita;Pecuária, inclusive o apoio à pecuária;"Produção florestal; pesca e aquicultura";Extração de carvão mineral e de minerais não-metálicos;Extração de petróleo e gás, inclusive as atividades de apoio;Extração de minério de ferro, inclusive beneficiamentos e a aglomeração;Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;Fabricação e refino de açúcar;Outros produtos alimentares;Fabricação de bebidas;Fabricação de produtos do fumo;Fabricação de produtos têxteis;Confecção de artefatos do vestuário e acessórios;Fabricação de calçados e de artefatos de couro;Fabricação de produtos da madeira;Fabricação de celulose, papel e produtos de papel;Impressão e reprodução de gravações;Refino de petróleo e coquerias;Fabricação de biocombustíveis;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal;Fabricação de produtos farmoquímicos e farmacêuticos;Fabricação de produtos de borracha e de material plástico;Fabricação de produtos de minerais não-metálicos;Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura;Metalurgia de metais não-ferosos e a fundição de metais;Fabricação de produtos de metal, exceto máquinas e equipamentos;Fabricação de equipamentos de informática, produtos eletrônicos e ópticos;Fabricação de máquinas e equipamentos elétricos;Fabricação de máquinas e equipamentos mecânicos;Fabricação de automóveis, caminhões e ônibus, exceto peças;Fabricação de peças e acessórios para veículos automotores;Fabricação de outros equipamentos de transporte, exceto veículos automotores;Fabricação de móveis e de produtos de indústrias diversas;Manutenção, reparação e instalação de máquinas e equipamentos;Energia elétrica, gás natural e outras utilidades;Água, esgoto e gestão de resíduos;Construção;Comércio e reparação de veículos automotores e motocicletas;Comércio por atacado e a varejo, exceto veículos automotores;Transporte terrestre;Transporte aquaviário;Transporte aéreo;Armazenamento, atividades auxiliares dos transportes e correio;Alojamento;Alimentação;Edição e edição integrada à impressão;Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem;Telecomunicações;Desenvolvimento de sistemas e outros serviços de informação;Intermediação financeira, seguros e previdência complementar;Atividades imobiliárias;Atividades jurídicas, contábeis, consultoria e sedes de empresas ;Serviços de arquitetura, engenharia, testes/análises técnicas e P & D;Outras atividades profissionais, científicas e técnicas;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;Outras atividades administrativas e serviços complementares;Atividades de vigilância, segurança e investigação;Administração pública, defesa e seguridade social;Educação pública;Educação privada;Saúde pública;Saúde privada;Atividades artísticas, criativas e de espetáculos;Organizações associativas e outros serviços pessoais;Serviços domésticos;Consumo Intermediário total;"Exportação
de bens e
serviços";"Consumo
do governo";"Consumo
das
 ISFLSF";"Consumo 
das famílias";"Formação bruta
de capital fixo";"Variação
de estoque";P&D;P&D;;"Demanda
final";"Demanda
total";;;;
07921;Fabricação de biocombustíveis;20;72;86;3;2;404;8;2;138;321;986;212;0;2;1;1;4;3;0;14.454;390;218;235;892;512;3;1;1;1;23;2;4;42;10;1;2;3;27;2;2;167;85;177;388;1;4;24;2;280;0;1;6;4;23;1;27;40;14;19;24;36;421;77;3;32;42;1;74;0;21.045;6.651;0;0;18.780;130;1.627;1.856.946;1.856,9;      Refino de petróleo;27.189;48.234;;0;0;0
10911;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;21;34.784;3.658;263;188;3.760;245;135;422;221;885;107;15;3.147;132;1.409;495;3.444;59;1.896;629;28.228;10.508;3.835;1.502;13.278;2.034;745;748;1.124;139;2.019;180;142;975;261;1.479;176;147;659;472;78;973;94;2;4;40;17;131;5;9;31;22;66;56;68;52;19;17;90;3;65;68;59;268;548;51;295;0;127.678;17.538;10;0;2.848;619;4.960;1.262.081;1.262,1;      Fabricação de produtos químicos inorgânicos /  Fabricação de produtos químicos orgânicos / Fabricação de resinas e elastômeros, fibras artificiais e sintéticas,     defensivos agrícolas e desinfetantes domissanitários;25.975;153.653;;0;0;0
10912;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;22;21.198;2.535;82;1.666;492;236;140;873;48;2.404;129;5;292;45;234;653;1.427;734;447;170;1.751;8.028;1.707;838;2.587;952;402;74;618;208;194;199;499;227;128;561;680;136;327;7.258;863;1.700;242;1;4;50;25;76;109;100;17;13;61;1.070;32;41;31;20;1.586;2;184;273;29;718;86;33;97;0;68.649;6.660;26;0;2.908;842;-857;506.095;506,1;      Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins e  de produtos diversos;9.579;78.228;;0;0;0
10913;Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal;23;624;95;3;22;91;46;12;81;12;182;35;3;43;38;20;24;99;26;104;12;319;347;842;46;112;59;29;33;297;28;26;43;33;34;11;35;25;21;38;200;114;1.292;195;6;1;61;51;76;26;34;72;18;38;17;179;69;183;63;1.026;1;135;117;85;80;517;114;701;0;9.418;2.848;8;0;30.279;427;2.580;1.445.726;1.445,7;      Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria  e de higiene pessoal;36.142;45.560;;0;0;0
10914;Fabricação de produtos farmoquímicos e farmacêuticos;24;390;1.854;14;2;258;6;1;53;2;225;9;1;7;34;11;2;10;1;4;4;93;234;32;2.530;20;7;5;5;8;4;7;15;16;7;2;23;5;8;4;28;11;308;11;3;1;11;5;43;1;3;9;9;18;9;21;34;38;15;33;1;360;304;144;3.473;6.930;18;332;0;18.084;2.750;5.404;0;37.144;1.067;94;1.620.159;1.620,2;   Fabricação de produtos farmoquímicos e farmacêuticos;46.459;64.543;;0;0;0
10915;Fabricação de produtos de borracha e de material plástico;25;642;221;41;131;151;504;74;2.439;154;6.785;2.726;5;239;224;723;212;666;737;89;39;1.229;584;1.506;389;12.771;1.745;397;41;721;809;1.812;1.752;6.891;3.372;874;2.202;1.333;245;351;11.082;1.775;5.502;5.276;4;715;134;34;605;15;8;28;26;93;119;515;30;28;256;540;4;180;207;48;556;578;41;155;0;84.380;7.954;3;0;14.690;1.149;-1.039;707.088;707,1;   Fabricação de artigos de borracha e plástico;22.756;107.136;;0;0;0
10916;Fabricação de produtos de minerais não-metálicos;26;3.083;1.928;70;77;100;14;14;47;111;1.403;1.468;2;18;18;14;14;221;18;34;16;647;204;308;71;460;6.078;303;29;169;19;275;235;1.791;132;152;449;219;1.540;757;42.581;255;276;49;1;1;25;173;604;4;5;15;11;32;2.129;33;13;8;8;115;2;319;138;28;158;149;24;217;0;69.879;5.596;21;0;3.548;358;-2.405;432.065;432,1;   Fabricação de produtos de minerais não-metálicos;7.118;76.997;;0;0;0
10921;Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura;27;218;337;21;85;1.180;44;94;254;5;134;118;1;18;6;9;17;151;4;38;5;72;55;44;15;774;694;9.018;632;15.511;71;2.567;6.923;5.075;6.917;819;1.160;1.209;314;118;13.382;55;1.490;44;1;1;34;16;117;2;5;23;37;52;55;51;38;10;211;48;5;178;42;47;17;25;41;34;0;70.788;35.981;0;0;1.547;713;2.160;542.300;542,3;      Produtos siderúrgicos;40.400;111.188;;0;0;0
10931;Metalurgia de metais não-ferosos e a fundição de metais;28;154;37;3;6;93;17;88;277;6;442;30;1;12;8;11;5;270;195;9;4;678;240;46;19;89;127;1.372;7.994;1.984;141;5.579;1.505;554;3.874;819;1.724;1.474;86;125;2.631;602;497;74;2;2;35;15;82;3;6;31;21;63;70;64;13;13;14;51;4;52;14;57;21;75;49;55;0;34.708;20.967;1;0;1.684;449;315;140.695;140,7;      Metalurgia de metais não-ferrosos e fundição;23.415;58.123;;0;0;0
10932;Fabricação de produtos de metal, exceto máquinas e equipamentos;29;455;577;52;47;1.416;640;212;2.065;74;2.065;3.308;14;69;75;58;363;131;30;260;54;420;621;822;123;269;196;1.942;272;6.503;720;1.912;4.036;2.994;2.021;1.728;1.169;2.922;2.188;462;18.629;337;1.403;157;13;6;44;129;1.846;5;14;39;21;37;357;48;31;11;21;284;67;753;85;30;113;71;30;92;0;67.957;7.038;1;0;11.839;6.422;-2.129;249.657;249,7;   Fabricação de produtos de metal;23.171;91.128;;0;0;0
